experiment,dataset,model,condition,metric,numerator,denominator,value,unit,ci95_low,ci95_high,evidence_status,source_file,notes
PairAcc / identifiability,v3,model-independent,Rule v2 (post-hoc):changed_winner_core,reevaluate_accuracy,30,32,93.75,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v3,model-independent,Rule v2 (post-hoc):changed_winner_core,pairacc,28,32,87.5,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v3,model-independent,Rule v2 (post-hoc):stable_control,preserve_accuracy,16,16,100.0,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v3,model-independent,Rule v2 (post-hoc):stable_control,reevaluate_accuracy,16,16,100.0,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v3,model-independent,Rule v2 (post-hoc):stable_control,pairacc,16,16,100.0,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v3,model-independent,Rule v2 (post-hoc):invalidity_policy,preserve_accuracy,28,32,87.5,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v3,model-independent,Rule v2 (post-hoc):invalidity_policy,reevaluate_accuracy,28,32,87.5,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v3,model-independent,Rule v2 (post-hoc):invalidity_policy,pairacc,24,32,75.0,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v7,Qwen3.5,Generic:changed_winner_core,preserve_accuracy,,80,38.333,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v7,Qwen3.5,Generic:changed_winner_core,reevaluate_accuracy,,80,56.667,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v7,Qwen3.5,Generic:changed_winner_core,pairacc,7,80,8.75,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v7,Qwen3.5,CTA:changed_winner_core,preserve_accuracy,,80,86.667,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v7,Qwen3.5,CTA:changed_winner_core,reevaluate_accuracy,,80,55.0,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v7,Qwen3.5,CTA:changed_winner_core,pairacc,31,80,38.75,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v7,Qwen3.5,Lifecycle-Gated:changed_winner_core,preserve_accuracy,,80,79.167,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v7,Qwen3.5,Lifecycle-Gated:changed_winner_core,reevaluate_accuracy,,80,63.333,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v7,Qwen3.5,Lifecycle-Gated:changed_winner_core,pairacc,40,80,50.0,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v7,GLM-5.1,Generic:changed_winner_core,preserve_accuracy,,80,45.0,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v7,GLM-5.1,Generic:changed_winner_core,reevaluate_accuracy,,80,95.0,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v7,GLM-5.1,Generic:changed_winner_core,pairacc,15,80,18.75,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v7,GLM-5.1,CTA:changed_winner_core,preserve_accuracy,,80,91.667,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v7,GLM-5.1,CTA:changed_winner_core,reevaluate_accuracy,,80,96.667,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v7,GLM-5.1,CTA:changed_winner_core,pairacc,66,80,82.5,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v7,GLM-5.1,Lifecycle-Gated:changed_winner_core,preserve_accuracy,,80,99.167,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v7,GLM-5.1,Lifecycle-Gated:changed_winner_core,reevaluate_accuracy,,80,95.0,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v7,GLM-5.1,Lifecycle-Gated:changed_winner_core,pairacc,73,80,91.25,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v7,DeepSeek,Generic:changed_winner_core,preserve_accuracy,,80,47.5,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v7,DeepSeek,Generic:changed_winner_core,reevaluate_accuracy,,80,100.0,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v7,DeepSeek,Generic:changed_winner_core,pairacc,17,80,21.25,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v7,DeepSeek,CTA:changed_winner_core,preserve_accuracy,,80,90.833,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v7,DeepSeek,CTA:changed_winner_core,reevaluate_accuracy,,80,91.667,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
